pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,st_spectype,pl_period,pl_orbsmax,pl_rade,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec,sy_dist
Kepler-336 c,Kepler-336,1,3,Transit,2014,Kepler,,9.59993139,0.0883,1.89,0,117.97,841,5956.94,0.96,1,290.2376224,41.3313637,768.86
Kepler-336 d,Kepler-336,1,3,Transit,2014,Kepler,,20.67878278,0.1472,2.16,0,42.43,651,5956.94,0.96,1,290.2376224,41.3313637,768.86
Kepler-337 b,Kepler-337,1,2,Transit,2014,Kepler,,3.29276965,0.04325,1.345,0,1011.58,1438,5684,1.47,1.01,290.0605123,47.1639533,677.975
Kepler-337 c,Kepler-337,1,2,Transit,2014,Kepler,,9.693152945,0.0888,1.825,0,240.44,1004,5684,1.47,1.01,290.0605123,47.1639533,677.975
Kepler-338 b,Kepler-338,1,4,Transit,2014,Kepler,,13.72707449,0.1171,2.47,0,241.39,1005,5910.5,1.74,1.1,282.9790593,40.7844188,552.798
Kepler-338 c,Kepler-338,1,4,Transit,2014,Kepler,,24.3111399,0.1715,2.37,0,112.73,831,5910.5,1.755,1.095,282.9790593,40.7844188,552.798
Kepler-338 d,Kepler-338,1,4,Transit,2014,Kepler,,44.4304059,0.2564,2.8,0,50.44,680,5910.5,1.755,1.095,282.9790593,40.7844188,552.798
Kepler-338 e,Kepler-338,1,4,Transit Timing Variations,2014,Kepler,,9.34144548,0.0906,1.634,0,403.94,1143,5910.5,1.74,1.12,282.9790593,40.7844188,552.798
Kepler-339 b,Kepler-339,1,3,Transit,2014,Kepler,,4.97761996,0.0547,1.46,0,195.78,954,5571,0.81,0.93,293.351701,48.4445922,616.637
Kepler-339 c,Kepler-339,1,3,Transit,2014,Kepler,,6.98803345,0.0686,1.18,0,124.48,852,5571,0.81,0.905,293.351701,48.4445922,616.637
Kepler-339 d,Kepler-339,1,3,Transit,2014,Kepler,,10.55838956,0.0903,1.17,0,71.84,742,5571,0.81,0.905,293.351701,48.4445922,616.637
Kepler-340 b,Kepler-340,1,2,Transit,2014,Kepler,,14.8444163,0.1502,2.94,0,1846.81,1672,7483.965,1.965,1.96,295.933471,40.3005515,808.762
Kepler-340 c,Kepler-340,1,2,Transit,2014,Kepler,,22.8245485,0.2001,4.415,0,1040.56,1448,7852.93,1.965,1.96,295.933471,40.3005515,808.762
Kepler-341 b,Kepler-341,1,4,Transit,2014,Kepler,,5.19556758,0.0587,1.16,0,340.45,1095,5877.5,1.015,1,289.8615609,43.4727412,1047.03
Kepler-341 c,Kepler-341,1,4,Transit,2014,Kepler,,8.010405035,0.0784,1.73,0,190.85,948,5755,1.02,1,289.8615609,43.4727412,1047.03
Kepler-341 d,Kepler-341,1,4,Transit,2014,Kepler,,27.6665971,0.1791,1.96,0,36.57,627,5755,1.02,1,289.8615609,43.4727412,1047.03
Kepler-341 e,Kepler-341,1,4,Transit,2014,Kepler,,42.47298265,0.2383,2.2885,0,20.66,544,5755,1.02,1,289.8615609,43.4727412,1047.03
Kepler-342 b,Kepler-342,1,4,Transit,2014,Kepler,,15.17026179,0.1275,2.055,0,134.29,868,6297,1.37,1.2,292.6780488,46.7266813,781.611
Kepler-342 c,Kepler-342,1,4,Transit,2014,Kepler,,26.2348478,0.1837,1.76,0,64.69,723,6297,1.37,1.2,292.6780488,46.7266813,781.611
Kepler-342 d,Kepler-342,1,4,Transit,2014,Kepler,,39.45718702,0.2412,2.405,0,37.52,631,6331.5,1.355,1.2,292.6780488,46.7266813,781.611
Kepler-343 b,Kepler-343,1,2,Transit,2014,Kepler,,8.96848108,0.08565,1.867,0,189.4,946,5808,1.29,1.03,291.960662,42.4329567,927.193
Kepler-343 c,Kepler-343,1,2,Transit,2014,Kepler,,23.2218189,0.1609,1.87,0,53.23,689,5807.5,1.29,1.03,291.960662,42.4329567,927.193
Kepler-344 b,Kepler-344,1,2,Transit,2014,Kepler,,21.96399084,0.1503,2.625,0,40.41,643,5752,0.96,0.93,292.4996101,46.3243406,1002.94
Kepler-344 c,Kepler-344,1,2,Transit,2014,Kepler,,125.602302,0.4806,3.025,0,3.95,360,5763,0.96,0.935,292.4996101,46.3243406,1002.94
Kepler-346 b,Kepler-346,1,2,Transit,2014,Kepler,,6.511120355,0.0698,2.71,0,243.67,1008,5996,0.96,1.02,288.0119248,46.1176003,984.105
Kepler-346 c,Kepler-346,1,2,Transit,2014,Kepler,,23.85163032,0.1658,3.3,0,43.19,654,5996,0.96,1.02,288.0119248,46.1176003,984.105
Kepler-347 b,Kepler-347,1,3,Transit,2014,Kepler,,12.7983109,0.1097,1.99,0,102.02,811,5892,1.06,1.05,289.1995995,49.3056404,1298.88
Kepler-347 c,Kepler-347,1,3,Transit,2014,Kepler,,27.3216332,0.182,1.72,0,37.07,629,5862.5,1.255,1.05,289.1995995,49.3056404,1298.88
Kepler-348 b,Kepler-348,1,2,Transit,2014,Kepler,,7.05675289,0.0766,1.505,0,358.82,1110,6395,1.3,1.26,297.2550814,40.5483883,570.783
Kepler-348 c,Kepler-348,1,2,Transit,2014,Kepler,,17.2654644,0.139,1.091,0,108.97,824,6403.5,1.3,1.265,297.2550814,40.5483883,570.783
Kepler-349 b,Kepler-349,1,2,Transit,2014,Kepler,,5.92973644,0.0642,1.89,0,224.5,987,5934,0.945,1.01,293.6764689,44.6155972,940.724
Kepler-349 c,Kepler-349,1,2,Transit,2014,Kepler,,12.24764145,0.10455,1.97,0,85.38,775,5934,0.945,1.01,293.6764689,44.6155972,940.724
Kepler-350 b,Kepler-350,1,3,Transit,2014,Kepler,,11.18961,0.0997,1.64,0,216.92,979,6217,1.31,1.12,285.4195845,39.7061009,956.859
